Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
830 344 2.59 0 0.0 0 344
832 344 2.59 0 0.0 0 344
834 344 2.59 0 0.0 0 344
836 344 2.59 0 0.0 0 344
838 344 2.59 0 0.0 0 344
840 344 2.59 0 0.0 0 344
842 344 2.59 0 0.0 0 344
844 344 2.59 0 0.0 0 344
846 344 2.59 0 0.0 0 344
848 344 2.59 0 0.0 0 344
850 344 2.59 0 0.0 0 344
852 344 2.59 0 0.0 0 344
854 344 2.59 0 0.0 0 344
856 344 2.59 0 0.0 0 344
858 344 2.59 0 0.0 0 344
860 344 2.59 0 0.0 0 344
862 344 2.59 0 0.0 0 344
864 344 2.59 0 0.0 0 344
866 344 2.59 0 0.0 0 344
868 344 2.59 0 0.0 0 344
870 344 2.59 0 0.0 0 344
872 344 2.59 0 0.0 0 344
874 344 2.59 0 0.0 0 344
876 344 2.59 0 0.0 0 344
878 344 2.59 0 0.0 0 344
880 344 2.59 0 0.0 0 344
882 344 2.59 0 0.0 0 344
884 344 2.59 0 0.0 0 344
886 344 2.59 0 0.0 0 344
888 344 2.59 0 0.0 0 344
890 344 2.59 0 0.0 0 344
892 344 2.59 0 0.0 0 344
894 344 2.59 0 0.0 0 344
896 344 2.59 0 0.0 0 344
898 344 2.59 0 0.0 0 344
900 344 2.59 0 0.0 0 344
902 344 2.59 0 0.0 0 344
904 344 2.59 0 0.0 0 344
906 344 2.59 0 0.0 0 344
908 344 2.59 0 0.0 0 344
910 344 2.59 0 0.0 0 344
912 344 2.59 0 0.0 0 344
914 344 2.59 0 0.0 0 344
916 344 2.59 0 0.0 0 344
918 344 2.59 0 0.0 0 344
920 344 2.59 0 0.0 0 344
922 344 2.59 0 0.0 0 344
924 344 2.59 0 0.0 0 344
926 344 2.59 0 0.0 0 344
928 344 2.59 0 0.0 0 344
930 344 2.59 0 0.0 0 344
932 344 2.59 0 0.0 0 344
934 344 2.59 0 0.0 0 344
936 344 2.59 0 0.0 0 344
938 344 2.59 0 0.0 0 344
940 344 2.59 0 0.0 0 344
942 344 2.59 0 0.0 0 344
944 344 2.59 0 0.0 0 344
946 344 2.59 0 0.0 0 344
948 344 2.59 0 0.0 0 344
950 344 2.59 0 0.0 0 344
952 344 2.59 0 0.0 0 344
954 344 2.59 0 0.0 0 344
956 344 2.59 0 0.0 0 344
958 344 2.59 0 0.0 0 344
960 344 2.59 0 0.0 0 344
962 344 2.59 0 0.0 0 344
964 344 2.59 0 0.0 0 344
966 344 2.59 0 0.0 0 344
968 344 2.59 0 0.0 0 344
970 344 2.59 0 0.0 0 344
972 344 2.59 0 0.0 0 344
974 344 2.59 0 0.0 0 344
976 344 2.59 0 0.0 0 344
978 344 2.59 0 0.0 0 344
980 344 2.59 0 0.0 0 344
982 344 2.59 0 0.0 0 344
984 344 2.59 0 0.0 0 344
986 344 2.59 0 0.0 0 344
988 344 2.59 0 0.0 0 344
990 344 2.59 0 0.0 0 344
992 344 2.59 0 0.0 0 344
994 344 2.59 0 0.0 0 344
996 344 2.59 0 0.0 0 344
998 344 2.59 0 0.0 0 344
1000 344 2.59 0 0.0 0 344
1002 344 2.59 0 0.0 0 344
1004 344 2.59 0 0.0 0 344
1006 344 2.59 0 0.0 0 344
1008 344 2.59 0 0.0 0 344
1010 344 2.59 0 0.0 0 344
1012 344 2.59 0 0.0 0 344
1014 344 2.59 0 0.0 0 344
1016 344 2.59 0 0.0 0 344
1018 344 2.59 0 0.0 0 344
1020 344 2.59 0 0.0 0 344
1022 344 2.59 0 0.0 0 344
1024 344 2.59 0 0.0 0 344
1026 344 2.59 0 0.0 0 344
1028 344 2.59 0 0.0 0 344
1030 344 2.59 0 0.0 0 344
1032 344 2.59 0 0.0 0 344
1034 344 2.59 0 0.0 0 344
1036 344 2.59 0 0.0 0 344
1038 344 2.59 0 0.0 0 344
1040 344 2.59 0 0.0 0 344
1042 344 2.59 0 0.0 0 344
1044 344 2.59 0 0.0 0 344
1046 344 2.59 0 0.0 0 344
1048 344 2.59 0 0.0 0 344
1050 344 2.59 0 0.0 0 344
1052 344 2.59 0 0.0 0 344
1054 344 2.59 0 0.0 0 344
1056 344 2.59 0 0.0 0 344
1058 344 2.59 0 0.0 0 344
1060 344 2.59 0 0.0 0 344
1062 344 2.59 0 0.0 0 344
1064 344 2.59 0 0.0 0 344
1066 344 2.59 0 0.0 0 344
1068 344 2.59 0 0.0 0 344
1070 344 2.59 0 0.0 0 344
1072 344 2.59 0 0.0 0 344
1074 344 2.59 0 0.0 0 344
